Date,Location,Crime_Type,Severity
2023-01-05,City Center,Drug Offense,High
2023-01-05,City Center,Burglary,Low
2023-01-05,City Center,Theft,Low
2023-01-05,City Center,Vandalism,Medium
2023-01-05,City Center,Burglary,Medium
2023-01-06,Downtown,Burglary,Low
2023-01-06,Downtown,Drug Offense,Low
2023-01-06,Downtown,Drug Offense,Medium
2023-01-06,Downtown,Theft,Low
2023-01-06,Downtown,Assault,Medium
2023-01-06,Downtown,Vandalism,High
2023-01-06,Downtown,Drug Offense,High
2023-01-06,Downtown,Assault,Low
2023-01-06,Suburb,Drug Offense,Low
2023-01-06,Suburb,Assault,Medium
2023-01-06,Suburb,Drug Offense,Medium
2023-01-06,Suburb,Assault,Low
2023-01-06,Suburb,Drug Offense,Low
2023-01-06,Suburb,Burglary,Low
2023-01-06,Suburb,Drug Offense,Low
2023-01-06,Industrial Area,Drug Offense,Low
2023-01-06,Industrial Area,Assault,High
2023-01-06,Industrial Area,Burglary,Low
2023-01-06,Industrial Area,Drug Offense,Low
2023-01-06,Residential Zone,Drug Offense,Low
2023-01-06,Residential Zone,Theft,Low
2023-01-06,Residential Zone,Theft,Low
2023-01-06,Residential Zone,Theft,Low
2023-01-06,Residential Zone,Burglary,Low
2023-01-06,Residential Zone,Burglary,Medium
2023-01-06,Residential Zone,Drug Offense,High
2023-01-06,Residential Zone,Assault,Medium
2023-01-06,City Center,Assault,Low
2023-01-06,City Center,Burglary,Low
2023-01-06,City Center,Drug Offense,Low
2023-01-07,Downtown,Assault,Medium
2023-01-07,Downtown,Theft,High
2023-01-07,Downtown,Assault,High
2023-01-07,Downtown,Burglary,High
2023-01-07,Downtown,Vandalism,Low
2023-01-07,Downtown,Drug Offense,Low
2023-01-07,Downtown,Vandalism,Medium
2023-01-07,Suburb,Theft,Medium
2023-01-07,Suburb,Assault,Low
2023-01-07,Suburb,Drug Offense,High
2023-01-07,Suburb,Vandalism,Low
2023-01-07,Industrial Area,Drug Offense,Medium
2023-01-07,Industrial Area,Burglary,Low
2023-01-07,Industrial Area,Burglary,Medium
2023-01-07,Residential Zone,Theft,High
2023-01-07,Residential Zone,Drug Offense,Low
2023-01-07,Residential Zone,Assault,Low
2023-01-07,Residential Zone,Assault,Low
2023-01-07,Residential Zone,Vandalism,High
2023-01-07,Residential Zone,Drug Offense,High
2023-01-07,Residential Zone,Drug Offense,Medium
2023-01-07,City Center,Drug Offense,Medium
2023-01-07,City Center,Assault,Medium
2023-01-07,City Center,Burglary,Low
2023-01-07,City Center,Burglary,Low
2023-01-07,City Center,Theft,Medium
2023-01-08,Downtown,Drug Offense,Medium
2023-01-08,Downtown,Burglary,High
2023-01-08,Downtown,Vandalism,High
2023-01-08,Downtown,Burglary,Medium
2023-01-08,Downtown,Theft,Low
2023-01-08,Downtown,Burglary,Low
2023-01-08,Suburb,Vandalism,Low
2023-01-08,Suburb,Drug Offense,High
2023-01-08,Suburb,Drug Offense,Low
2023-01-08,Suburb,Theft,Medium
2023-01-08,Suburb,Theft,Low
2023-01-08,Suburb,Assault,Low
2023-01-08,Suburb,Theft,Low
2023-01-08,Suburb,Vandalism,Low
2023-01-08,Industrial Area,Theft,High
2023-01-08,Industrial Area,Burglary,Low
2023-01-08,Industrial Area,Drug Offense,Low
2023-01-08,Industrial Area,Assault,Medium
2023-01-08,Industrial Area,Vandalism,Low
2023-01-08,Residential Zone,Assault,Low
2023-01-08,Residential Zone,Theft,High
2023-01-08,Residential Zone,Drug Offense,Low
2023-01-08,City Center,Vandalism,Low
2023-01-08,City Center,Burglary,Medium
2023-01-08,City Center,Theft,Low
2023-01-08,City Center,Theft,High
2023-01-08,City Center,Theft,Medium
2023-01-08,City Center,Drug Offense,High
2023-01-09,Downtown,Assault,High
2023-01-09,Downtown,Burglary,Medium
2023-01-09,Downtown,Assault,High
2023-01-09,Downtown,Vandalism,Low
2023-01-09,Suburb,Drug Offense,Low
2023-01-09,Suburb,Burglary,Medium
2023-01-09,Suburb,Theft,Low
2023-01-09,Suburb,Drug Offense,Low
2023-01-09,Suburb,Assault,Low
2023-01-09,Suburb,Drug Offense,Low
2023-01-09,Suburb,Vandalism,High
2023-01-09,Suburb,Assault,Low
2023-01-09,Industrial Area,Assault,Low
2023-01-09,Industrial Area,Theft,High
2023-01-09,Industrial Area,Burglary,Medium
2023-01-09,Industrial Area,Burglary,Low
2023-01-09,Industrial Area,Vandalism,Low
2023-01-09,Industrial Area,Burglary,Low
2023-01-09,Industrial Area,Theft,Low
2023-01-09,Residential Zone,Theft,Low
2023-01-09,Residential Zone,Burglary,Low
2023-01-09,Residential Zone,Drug Offense,Low
2023-01-09,Residential Zone,Vandalism,Low
2023-01-09,Residential Zone,Burglary,Low
2023-01-09,Residential Zone,Drug Offense,Low
2023-01-09,Residential Zone,Assault,Medium
2023-01-09,City Center,Theft,High
2023-01-09,City Center,Vandalism,Low
2023-01-09,City Center,Assault,Medium
2023-01-09,City Center,Vandalism,High
2023-01-09,City Center,Theft,Medium
2023-01-09,City Center,Vandalism,Low
2023-01-10,Downtown,Theft,Medium
2023-01-10,Downtown,Assault,Medium
2023-01-10,Downtown,Assault,Low
2023-01-10,Downtown,Assault,Low
2023-01-10,Downtown,Burglary,Medium
2023-01-10,Downtown,Theft,Medium
2023-01-10,Suburb,Theft,Medium
2023-01-10,Suburb,Assault,Low
2023-01-10,Suburb,Drug Offense,Medium
2023-01-10,Suburb,Assault,Low
2023-01-10,Suburb,Burglary,Medium
2023-01-10,Suburb,Theft,Medium
2023-01-10,Industrial Area,Drug Offense,Medium
2023-01-10,Industrial Area,Drug Offense,Low
2023-01-10,Industrial Area,Vandalism,Medium
2023-01-10,Industrial Area,Theft,Medium
2023-01-10,Residential Zone,Burglary,Low
2023-01-10,Residential Zone,Burglary,High
2023-01-10,Residential Zone,Vandalism,High
2023-01-10,Residential Zone,Burglary,Medium
2023-01-10,City Center,Drug Offense,Medium
2023-01-10,City Center,Burglary,Medium
2023-01-10,City Center,Burglary,Low
2023-01-10,City Center,Theft,Medium
2023-01-11,Downtown,Assault,Low
2023-01-11,Downtown,Theft,Medium
2023-01-11,Downtown,Drug Offense,Low
2023-01-11,Downtown,Drug Offense,Low
2023-01-11,Downtown,Vandalism,Medium
2023-01-11,Downtown,Burglary,Low
2023-01-11,Suburb,Vandalism,High
2023-01-11,Suburb,Assault,Low
2023-01-11,Suburb,Drug Offense,High
2023-01-11,Suburb,Assault,Medium
2023-01-11,Suburb,Theft,Medium
2023-01-11,Suburb,Vandalism,Low
2023-01-11,Suburb,Assault,Low
2023-01-11,Industrial Area,Drug Offense,Low
2023-01-11,Industrial Area,Assault,Low
2023-01-11,Industrial Area,Theft,Low
2023-01-11,Residential Zone,Theft,Low
2023-01-11,Residential Zone,Theft,Low
2023-01-11,Residential Zone,Burglary,Medium
2023-01-11,City Center,Theft,Low
2023-01-11,City Center,Burglary,High
2023-01-11,City Center,Burglary,Low
2023-01-11,City Center,Vandalism,High
2023-01-12,Downtown,Assault,Medium
2023-01-12,Downtown,Theft,High
2023-01-12,Downtown,Vandalism,Low
2023-01-12,Downtown,Burglary,High
2023-01-12,Downtown,Theft,High
2023-01-12,Suburb,Burglary,Low
2023-01-12,Suburb,Drug Offense,Low
2023-01-12,Suburb,Drug Offense,High
2023-01-12,Suburb,Drug Offense,Low
2023-01-12,Industrial Area,Drug Offense,Low
2023-01-12,Industrial Area,Assault,Low
2023-01-12,Industrial Area,Vandalism,Low
2023-01-12,Industrial Area,Burglary,Medium
2023-01-12,Industrial Area,Assault,High
2023-01-12,Industrial Area,Theft,High
2023-01-12,Residential Zone,Burglary,Medium
2023-01-12,Residential Zone,Assault,Low
2023-01-12,Residential Zone,Theft,Low
2023-01-12,City Center,Drug Offense,Medium
2023-01-12,City Center,Burglary,Medium
2023-01-12,City Center,Drug Offense,Low
2023-01-12,City Center,Drug Offense,Low
2023-01-12,City Center,Theft,Medium
2023-01-12,City Center,Vandalism,Medium
2023-01-12,City Center,Drug Offense,Low
2023-01-12,City Center,Drug Offense,High
2023-01-13,Downtown,Theft,Low
2023-01-13,Downtown,Drug Offense,High
2023-01-13,Downtown,Theft,Low
2023-01-13,Downtown,Assault,Medium
2023-01-13,Downtown,Theft,High
2023-01-13,Downtown,Drug Offense,Low
2023-01-13,Suburb,Assault,Medium
2023-01-13,Suburb,Drug Offense,Low
2023-01-13,Suburb,Assault,Low
2023-01-13,Suburb,Drug Offense,Medium
2023-01-13,Suburb,Burglary,Low
2023-01-13,Suburb,Theft,High
2023-01-13,Industrial Area,Theft,High
2023-01-13,Industrial Area,Assault,High
2023-01-13,Industrial Area,Assault,Low
2023-01-13,Industrial Area,Theft,Medium
2023-01-13,Industrial Area,Drug Offense,Medium
2023-01-13,Residential Zone,Burglary,Medium
2023-01-13,Residential Zone,Assault,Low
2023-01-13,Residential Zone,Drug Offense,Low
2023-01-13,Residential Zone,Drug Offense,Medium
2023-01-13,Residential Zone,Theft,High
2023-01-13,Residential Zone,Burglary,Low
2023-01-13,Residential Zone,Drug Offense,Low
2023-01-13,City Center,Theft,Medium
2023-01-13,City Center,Drug Offense,Low
2023-01-13,City Center,Drug Offense,Medium
2023-01-13,City Center,Burglary,Medium
2023-01-13,City Center,Vandalism,Medium
2023-01-14,Downtown,Drug Offense,Medium
2023-01-14,Downtown,Theft,Low
2023-01-14,Downtown,Vandalism,Low
2023-01-14,Downtown,Assault,Low
2023-01-14,Downtown,Drug Offense,Low
2023-01-14,Downtown,Vandalism,High
2023-01-14,Downtown,Burglary,Low
2023-01-14,Downtown,Vandalism,Medium
2023-01-14,Downtown,Assault,Low
2023-01-14,Downtown,Burglary,Low
2023-01-14,Suburb,Assault,Low
2023-01-14,Suburb,Assault,Medium
2023-01-14,Industrial Area,Theft,High
2023-01-14,Industrial Area,Burglary,Low
2023-01-14,Industrial Area,Vandalism,Low
2023-01-14,Industrial Area,Vandalism,High
2023-01-14,Residential Zone,Assault,Low
2023-01-14,Residential Zone,Assault,High
2023-01-14,Residential Zone,Drug Offense,Low
2023-01-14,City Center,Theft,Low
2023-01-14,City Center,Drug Offense,Medium
2023-01-14,City Center,Assault,High
2023-01-14,City Center,Drug Offense,Low
2023-01-14,City Center,Assault,Low
2023-01-14,City Center,Theft,Low
2023-01-14,City Center,Assault,Low
2023-01-14,City Center,Burglary,High
2023-01-15,Downtown,Theft,Medium
2023-01-15,Downtown,Burglary,Medium
2023-01-15,Downtown,Drug Offense,Low
2023-01-15,Downtown,Drug Offense,High
2023-01-15,Downtown,Drug Offense,High
2023-01-15,Suburb,Theft,High
2023-01-15,Suburb,Vandalism,High
2023-01-15,Suburb,Theft,Low
2023-01-15,Suburb,Drug Offense,High
2023-01-15,Suburb,Assault,High
2023-01-15,Suburb,Vandalism,Medium
2023-01-15,Suburb,Vandalism,Low
2023-01-15,Industrial Area,Theft,Low
2023-01-15,Industrial Area,Burglary,High
2023-01-15,Industrial Area,Drug Offense,Medium
2023-01-15,Industrial Area,Burglary,Low
2023-01-15,Residential Zone,Burglary,Low
2023-01-15,Residential Zone,Burglary,Low
2023-01-15,Residential Zone,Vandalism,Low
2023-01-15,Residential Zone,Drug Offense,Low
2023-01-15,Residential Zone,Vandalism,Low
2023-01-15,Residential Zone,Vandalism,Low
2023-01-15,Residential Zone,Theft,Low
2023-01-15,City Center,Burglary,High
2023-01-15,City Center,Drug Offense,Low
2023-01-15,City Center,Theft,Low
2023-01-15,City Center,Drug Offense,Low
2023-01-16,Downtown,Burglary,Low
2023-01-16,Downtown,Burglary,High
2023-01-16,Downtown,Assault,Low
2023-01-16,Downtown,Assault,Low
2023-01-16,Suburb,Theft,High
2023-01-16,Suburb,Vandalism,Low
2023-01-16,Suburb,Drug Offense,High
2023-01-16,Suburb,Drug Offense,Medium
2023-01-16,Suburb,Theft,Low
2023-01-16,Industrial Area,Assault,Medium
2023-01-16,Industrial Area,Burglary,High
2023-01-16,Industrial Area,Theft,High
2023-01-16,Industrial Area,Assault,High
2023-01-16,Industrial Area,Drug Offense,Low
2023-01-16,Residential Zone,Drug Offense,Low
2023-01-16,Residential Zone,Drug Offense,High
2023-01-16,City Center,Assault,Medium
2023-01-16,City Center,Vandalism,Low
2023-01-16,City Center,Assault,Low
2023-01-17,Downtown,Burglary,Low
2023-01-17,Downtown,Theft,Medium
2023-01-17,Downtown,Assault,High
2023-01-17,Downtown,Assault,Low
2023-01-17,Downtown,Theft,Low
2023-01-17,Downtown,Assault,Low
2023-01-17,Suburb,Vandalism,Medium
2023-01-17,Suburb,Burglary,Medium
2023-01-17,Industrial Area,Drug Offense,Low
2023-01-17,Industrial Area,Burglary,High
2023-01-17,Industrial Area,Burglary,Medium
2023-01-17,Industrial Area,Burglary,High
2023-01-17,Residential Zone,Theft,Low
2023-01-17,Residential Zone,Assault,Low
2023-01-17,Residential Zone,Assault,Medium
2023-01-17,City Center,Burglary,Medium
2023-01-17,City Center,Theft,Low
2023-01-17,City Center,Vandalism,Medium
2023-01-17,City Center,Theft,Medium
2023-01-17,City Center,Vandalism,Low
2023-01-17,City Center,Drug Offense,Low
2023-01-17,City Center,Theft,Low
2023-01-18,Downtown,Drug Offense,High
2023-01-18,Downtown,Assault,Low
2023-01-18,Downtown,Vandalism,Low
2023-01-18,Downtown,Theft,Low
2023-01-18,Downtown,Assault,High
2023-01-18,Downtown,Assault,High
2023-01-18,Downtown,Burglary,Medium
2023-01-18,Suburb,Assault,Medium
2023-01-18,Suburb,Assault,Low
2023-01-18,Suburb,Drug Offense,Low
2023-01-18,Suburb,Vandalism,High
2023-01-18,Industrial Area,Assault,Low
2023-01-18,Industrial Area,Vandalism,High
2023-01-18,Industrial Area,Burglary,Low
2023-01-18,Industrial Area,Burglary,Low
2023-01-18,Industrial Area,Drug Offense,Low
2023-01-18,Industrial Area,Assault,Low
2023-01-18,Industrial Area,Vandalism,Low
2023-01-18,Residential Zone,Vandalism,Low
2023-01-18,Residential Zone,Drug Offense,Low
2023-01-18,Residential Zone,Assault,Medium
2023-01-18,Residential Zone,Vandalism,High
2023-01-18,Residential Zone,Theft,High
2023-01-18,City Center,Drug Offense,Low
2023-01-18,City Center,Theft,High
2023-01-18,City Center,Assault,Low
2023-01-18,City Center,Vandalism,Low
2023-01-19,Downtown,Burglary,Low
2023-01-19,Downtown,Drug Offense,High
2023-01-19,Downtown,Drug Offense,Medium
2023-01-19,Downtown,Theft,Low
2023-01-19,Downtown,Drug Offense,Low
2023-01-19,Downtown,Assault,Medium
2023-01-19,Downtown,Vandalism,Low
2023-01-19,Downtown,Drug Offense,Low
2023-01-19,Downtown,Theft,Low
2023-01-19,Suburb,Drug Offense,Low
2023-01-19,Suburb,Burglary,Low
2023-01-19,Suburb,Burglary,Low
2023-01-19,Suburb,Drug Offense,Low
2023-01-19,Suburb,Drug Offense,High
2023-01-19,Suburb,Burglary,Medium
2023-01-19,Suburb,Burglary,Low
2023-01-19,Industrial Area,Burglary,High
2023-01-19,Residential Zone,Drug Offense,Medium
2023-01-19,Residential Zone,Assault,Low
2023-01-19,Residential Zone,Vandalism,Low
2023-01-19,Residential Zone,Assault,High
2023-01-19,Residential Zone,Assault,High
2023-01-19,City Center,Theft,Low
2023-01-19,City Center,Assault,Low
2023-01-19,City Center,Assault,Low
2023-01-19,City Center,Drug Offense,Low
2023-01-19,City Center,Drug Offense,Low
2023-01-19,City Center,Assault,Medium
2023-01-19,City Center,Theft,Low
2023-01-19,City Center,Burglary,Medium
2023-01-19,City Center,Burglary,Medium
2023-01-19,City Center,Assault,Low
2023-01-20,Downtown,Burglary,Low
2023-01-20,Downtown,Drug Offense,Low
2023-01-20,Downtown,Drug Offense,Low
2023-01-20,Suburb,Assault,Medium
2023-01-20,Suburb,Theft,Low
2023-01-20,Suburb,Drug Offense,Low
2023-01-20,Suburb,Theft,Low
2023-01-20,Suburb,Drug Offense,Medium
2023-01-20,Suburb,Drug Offense,Low
2023-01-20,Suburb,Theft,High
2023-01-20,Suburb,Vandalism,Medium
2023-01-20,Suburb,Burglary,Medium
2023-01-20,Industrial Area,Vandalism,Low
2023-01-20,Industrial Area,Drug Offense,Low
2023-01-20,Industrial Area,Assault,Medium
2023-01-20,Industrial Area,Burglary,High
2023-01-20,Residential Zone,Theft,Low
2023-01-20,Residential Zone,Drug Offense,High
2023-01-20,Residential Zone,Assault,Medium
2023-01-20,Residential Zone,Burglary,Low
2023-01-20,City Center,Assault,Low
2023-01-20,City Center,Vandalism,Low
2023-01-20,City Center,Burglary,Low
2023-01-20,City Center,Assault,Medium
2023-01-20,City Center,Burglary,Low
2023-01-20,City Center,Drug Offense,Low
2023-01-20,City Center,Drug Offense,Medium
2023-01-20,City Center,Vandalism,Low
2023-01-21,Downtown,Assault,High
2023-01-21,Downtown,Theft,Medium
2023-01-21,Downtown,Burglary,Low
2023-01-21,Suburb,Burglary,Low
2023-01-21,Suburb,Drug Offense,Low
2023-01-21,Suburb,Drug Offense,High
2023-01-21,Suburb,Theft,Low
2023-01-21,Suburb,Assault,Low
2023-01-21,Industrial Area,Drug Offense,Low
2023-01-21,Industrial Area,Drug Offense,Low
2023-01-21,Industrial Area,Burglary,Medium
2023-01-21,Residential Zone,Vandalism,Medium
2023-01-21,Residential Zone,Assault,High
2023-01-21,Residential Zone,Vandalism,Low
2023-01-21,City Center,Assault,High
2023-01-21,City Center,Vandalism,Low
2023-01-21,City Center,Vandalism,High
2023-01-21,City Center,Theft,High
2023-01-21,City Center,Drug Offense,Low
2023-01-21,City Center,Theft,Low
2023-01-22,Downtown,Vandalism,Medium
2023-01-22,Downtown,Burglary,Low
2023-01-22,Downtown,Vandalism,Low
2023-01-22,Downtown,Burglary,Low
2023-01-22,Downtown,Assault,Low
2023-01-22,Downtown,Theft,Low
2023-01-22,Downtown,Assault,Low
2023-01-22,Downtown,Vandalism,Low
2023-01-22,Suburb,Assault,Low
2023-01-22,Suburb,Burglary,Medium
2023-01-22,Suburb,Burglary,High
2023-01-22,Suburb,Theft,Medium
2023-01-22,Suburb,Vandalism,High
2023-01-22,Suburb,Drug Offense,Low
2023-01-22,Suburb,Theft,Medium
2023-01-22,Industrial Area,Drug Offense,Low
2023-01-22,Industrial Area,Theft,Low
2023-01-22,Industrial Area,Assault,Medium
2023-01-22,Industrial Area,Burglary,Low
2023-01-22,Industrial Area,Burglary,Medium
2023-01-22,Industrial Area,Vandalism,Low
2023-01-22,Industrial Area,Vandalism,High
2023-01-22,Industrial Area,Vandalism,Low
2023-01-22,Residential Zone,Burglary,Medium
2023-01-22,Residential Zone,Theft,Low
2023-01-22,Residential Zone,Drug Offense,Medium
2023-01-22,Residential Zone,Burglary,Low
2023-01-22,City Center,Drug Offense,Low
2023-01-22,City Center,Theft,Low
2023-01-22,City Center,Vandalism,Medium
2023-01-22,City Center,Vandalism,High
2023-01-22,City Center,Assault,Low
2023-01-23,Downtown,Drug Offense,Low
2023-01-23,Downtown,Theft,Low
2023-01-23,Downtown,Drug Offense,Low
2023-01-23,Downtown,Drug Offense,Low
2023-01-23,Downtown,Burglary,Low
2023-01-23,Downtown,Drug Offense,Low
2023-01-23,Suburb,Drug Offense,High
2023-01-23,Suburb,Drug Offense,High
2023-01-23,Suburb,Burglary,Low
2023-01-23,Suburb,Vandalism,Low
2023-01-23,Industrial Area,Vandalism,High
2023-01-23,Industrial Area,Vandalism,Medium
2023-01-23,Industrial Area,Theft,Low
2023-01-23,Industrial Area,Vandalism,High
2023-01-23,Residential Zone,Assault,High
2023-01-23,Residential Zone,Burglary,Low
2023-01-23,Residential Zone,Drug Offense,Low
2023-01-23,City Center,Assault,Low
2023-01-23,City Center,Drug Offense,Low
2023-01-23,City Center,Vandalism,Medium
2023-01-23,City Center,Drug Offense,Low
2023-01-23,City Center,Assault,Medium
2023-01-23,City Center,Assault,Low
2023-01-23,City Center,Theft,Low
2023-01-24,Downtown,Theft,Low
2023-01-24,Downtown,Drug Offense,Medium
2023-01-24,Downtown,Burglary,Low
2023-01-24,Downtown,Vandalism,High
2023-01-24,Downtown,Assault,High
2023-01-24,Downtown,Burglary,Low
2023-01-24,Downtown,Vandalism,Medium
2023-01-24,Suburb,Burglary,Medium
2023-01-24,Suburb,Drug Offense,High
2023-01-24,Suburb,Vandalism,Low
2023-01-24,Suburb,Burglary,Low
2023-01-24,Suburb,Burglary,Low
2023-01-24,Suburb,Assault,Low
2023-01-24,Industrial Area,Theft,High
2023-01-24,Industrial Area,Drug Offense,Low
2023-01-24,Industrial Area,Assault,Low
2023-01-24,Industrial Area,Burglary,Medium
2023-01-24,Industrial Area,Drug Offense,High
2023-01-24,Residential Zone,Theft,Low
2023-01-24,Residential Zone,Vandalism,Low
2023-01-24,Residential Zone,Burglary,Low
2023-01-24,City Center,Vandalism,Medium
2023-01-24,City Center,Theft,Medium
2023-01-24,City Center,Assault,Medium
2023-01-24,City Center,Theft,Low
2023-01-25,Downtown,Burglary,Low
2023-01-25,Downtown,Assault,Medium
2023-01-25,Downtown,Theft,High
2023-01-25,Downtown,Theft,Low
2023-01-25,Suburb,Drug Offense,Medium
2023-01-25,Suburb,Vandalism,Low
2023-01-25,Suburb,Burglary,High
2023-01-25,Suburb,Vandalism,Medium
2023-01-25,Suburb,Assault,High
2023-01-25,Suburb,Assault,Medium
2023-01-25,Industrial Area,Burglary,High
2023-01-25,Industrial Area,Theft,Low
2023-01-25,Industrial Area,Drug Offense,Low
2023-01-25,Industrial Area,Drug Offense,Low
2023-01-25,Industrial Area,Vandalism,Low
2023-01-25,Industrial Area,Drug Offense,Low
2023-01-25,Residential Zone,Vandalism,Low
2023-01-25,Residential Zone,Burglary,Medium
2023-01-25,Residential Zone,Theft,Low
2023-01-25,Residential Zone,Vandalism,Low
2023-01-25,Residential Zone,Theft,Low
2023-01-25,City Center,Assault,Low
2023-01-25,City Center,Burglary,Low
2023-01-25,City Center,Assault,Medium
2023-01-25,City Center,Theft,Medium
2023-01-25,City Center,Assault,High
2023-01-25,City Center,Drug Offense,Low
2023-01-26,Downtown,Vandalism,Low
2023-01-26,Downtown,Burglary,Low
2023-01-26,Downtown,Theft,Low
2023-01-26,Downtown,Drug Offense,Medium
2023-01-26,Downtown,Theft,Low
2023-01-26,Downtown,Drug Offense,Low
2023-01-26,Downtown,Theft,Low
2023-01-26,Downtown,Theft,Low
2023-01-26,Suburb,Burglary,High
2023-01-26,Suburb,Assault,Low
2023-01-26,Suburb,Assault,Low
2023-01-26,Suburb,Vandalism,Low
2023-01-26,Suburb,Assault,Medium
2023-01-26,Suburb,Assault,High
2023-01-26,Industrial Area,Vandalism,Low
2023-01-26,Residential Zone,Vandalism,Low
2023-01-26,Residential Zone,Vandalism,Medium
2023-01-26,Residential Zone,Theft,Low
2023-01-26,Residential Zone,Vandalism,Low
2023-01-26,Residential Zone,Theft,Low
